

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.013  000.013: --- NVIM STARTING ---
000.197  000.184: event init
000.364  000.168: early init
000.462  000.098: locale set
000.507  000.045: init first window
000.980  000.473: inits 1
000.998  000.018: window checked
001.003  000.005: parsing arguments
002.041  000.143  000.143: require('vim.shared')
002.266  000.079  000.079: require('vim._meta')
002.271  000.220  000.141: require('vim._editor')
002.274  000.425  000.062: require('vim._init_packages')
002.278  000.850: init lua interpreter
002.398  000.120: expanding arguments
002.474  000.076: inits 2
003.144  000.670: init highlight
003.154  000.009: waiting for UI
005.507  002.354: done waiting for UI
005.540  000.033: init screen for UI
005.792  000.252: init default mappings
005.831  000.039: init default autocommands
007.676  000.226  000.226: sourcing /usr/share/nvim/runtime/ftplugin.vim
007.848  000.052  000.052: sourcing /usr/share/nvim/runtime/indent.vim
018.736  001.485  001.485: require('lvim.core.log')
018.753  002.394  000.909: require('lvim.utils.modules')
018.762  004.832  002.438: require('lvim.bootstrap')
089.388  068.747  068.747: require('lvim.impatient')
090.052  000.169  000.169: require('lvim.utils')
090.067  000.662  000.493: require('lvim.config')
090.856  000.107  000.107: require('lvim.utils.table')
090.873  000.722  000.615: require('lvim.lsp.utils')
091.095  000.218  000.218: require('lvim.icons')
091.104  001.033  000.093: require('lvim.config.defaults')
091.845  000.238  000.238: require('lvim.keymappings')
091.871  000.015  000.015: require('vim.keymap')
092.599  000.146  000.146: require('lvim.core.builtins')
092.713  000.104  000.104: require('lvim.core.theme')
093.578  000.854  000.854: require('lvim.core.which-key')
098.430  000.145  000.145: require('plenary.tbl')
098.449  000.296  000.151: require('plenary.vararg.rotate')
098.453  001.153  000.857: require('plenary.vararg')
098.785  000.329  000.329: require('plenary.errors')
098.914  000.118  000.118: require('plenary.functional')
098.924  001.817  000.217: require('plenary.async.async')
099.012  000.085  000.085: require('plenary.async.structs')
099.026  002.761  000.859: require('plenary.async.control')
099.788  000.085  000.085: require('plenary.bit')
099.846  000.035  000.035: require('ffi')
099.871  000.322  000.202: require('plenary.path')
099.884  000.415  000.093: require('plenary.strings')
100.345  000.458  000.458: require('telescope.deprecated')
101.209  000.301  000.301: require('plenary.log')
101.321  000.522  000.221: require('telescope.log')
101.632  000.139  000.139: require('plenary.job')
101.709  000.072  000.072: require('telescope.state')
101.728  000.403  000.192: require('telescope.utils')
101.752  001.391  000.467: require('telescope.sorters')
102.086  000.300  000.300: require('vim.inspect')
102.434  000.014  000.014: require('vim.F')
105.766  006.443  003.865: require('telescope.config')
106.157  000.121  000.121: require('plenary.window.border')
106.232  000.070  000.070: require('plenary.window')
106.303  000.067  000.067: require('plenary.popup.utils')
106.312  000.526  000.268: require('plenary.popup')
106.412  000.097  000.097: require('telescope.pickers.scroller')
106.506  000.090  000.090: require('telescope.actions.state')
106.593  000.083  000.083: require('telescope.actions.utils')
106.830  000.116  000.116: require('telescope.actions.mt')
106.864  000.268  000.152: require('telescope.actions.set')
107.293  000.240  000.240: require('telescope.config.resolve')
107.306  000.438  000.198: require('telescope.pickers.entry_display')
107.396  000.085  000.085: require('telescope.from_entry')
107.762  008.731  000.701: require('telescope.actions')
108.208  000.278  000.278: require('telescope.make_entry')
108.559  000.097  000.097: require('plenary.async.util')
108.566  000.171  000.074: require('plenary.async.tests')
108.570  000.263  000.091: require('plenary.async')
108.575  000.360  000.098: require('telescope.finders.async_static_finder')
108.831  000.071  000.071: require('plenary.class')
108.933  000.264  000.194: require('telescope._')
108.937  000.360  000.095: require('telescope.finders.async_oneshot_finder')
109.023  000.083  000.083: require('telescope.finders.async_job_finder')
109.032  001.263  000.182: require('telescope.finders')
109.428  000.093  000.093: require('telescope._extensions')
109.435  000.181  000.088: require('telescope')
109.530  000.090  000.090: require('telescope.debounce')
109.694  000.160  000.160: require('telescope.mappings')
109.793  000.094  000.094: require('telescope.pickers.highlights')
109.867  000.070  000.070: require('telescope.pickers.window')
110.044  000.089  000.089: require('telescope.algos.linked_list')
110.051  000.180  000.091: require('telescope.entry_manager')
110.122  000.068  000.068: require('telescope.pickers.multi')
110.149  001.113  000.268: require('telescope.pickers')
110.165  015.519  001.651: require('telescope.builtin.__lsp')
110.212  016.197  000.678: require('telescope.builtin')
110.303  000.086  000.086: require('telescope.themes')
110.472  000.077  000.077: require('telescope.previewers.previewer')
110.639  000.163  000.163: require('telescope.previewers.term_previewer')
111.201  000.089  000.089: require('plenary.context_manager')
111.584  000.112  000.112: require('nvim-treesitter.utils')
112.832  000.059  000.059: require('vim.treesitter.language')
112.859  000.178  000.119: require('vim.treesitter.query')
113.204  000.340  000.340: require('vim.treesitter.languagetree')
113.322  000.765  000.247: require('vim.treesitter')
113.667  002.077  001.311: require('nvim-treesitter.parsers')
114.278  000.107  000.107: require('nvim-treesitter.ts_utils')
114.289  000.202  000.095: require('nvim-treesitter.tsrange')
114.362  000.069  000.069: require('nvim-treesitter.caching')
114.383  000.398  000.127: require('nvim-treesitter.query')
114.413  000.580  000.181: require('nvim-treesitter.configs')
114.419  000.747  000.168: require('nvim-treesitter.info')
114.545  000.123  000.123: require('nvim-treesitter.shell_command_selectors')
114.622  003.332  000.272: require('nvim-treesitter.install')
114.706  000.080  000.080: require('nvim-treesitter.statusline')
114.794  000.085  000.085: require('nvim-treesitter.query_predicates')
114.799  003.587  000.091: require('nvim-treesitter')
114.809  003.858  000.182: require('telescope.previewers.utils')
119.445  004.632  004.632: require('plenary.filetype')
119.813  000.348  000.348: require('plenary.scandir')
120.122  009.478  000.640: require('telescope.previewers.buffer_previewer')
120.142  009.836  000.117: require('telescope.previewers')
120.157  026.545  000.426: require('lvim.core.telescope.custom-finders')
120.901  000.712  000.712: require('vim.diagnostic')
121.808  000.238  000.238: require('vim.lsp.log')
123.039  001.216  001.216: require('vim.lsp.protocol')
123.645  000.182  000.182: require('vim.lsp._snippet')
123.736  000.083  000.083: require('vim.highlight')
123.769  000.710  000.445: require('vim.lsp.util')
123.811  002.418  000.255: require('vim.lsp.handlers')
123.990  000.175  000.175: require('vim.lsp.rpc')
124.065  000.070  000.070: require('vim.lsp.sync')
124.226  000.156  000.156: require('vim.lsp.buf')
124.319  000.089  000.089: require('vim.lsp.diagnostic')
124.430  000.108  000.108: require('vim.lsp.codelens')
124.644  003.723  000.708: require('vim.lsp')
124.832  000.156  000.156: require('lvim.core.gitsigns')
125.010  000.165  000.165: require('lvim.core.cmp')
126.644  000.802  000.802: require('cmp.utils.debug')
126.910  000.150  000.150: require('cmp.utils.char')
126.923  000.264  000.114: require('cmp.utils.str')
127.014  000.088  000.088: require('cmp.utils.pattern')
127.350  000.103  000.103: require('cmp.utils.misc')
127.426  000.071  000.071: require('cmp.utils.buffer')
127.522  000.093  000.093: require('cmp.utils.api')
127.534  000.410  000.144: require('cmp.utils.keymap')
127.542  000.524  000.114: require('cmp.utils.feedkeys')
127.671  000.126  000.126: require('cmp.utils.async')
127.935  000.086  000.086: require('cmp.types.cmp')
128.114  000.135  000.135: require('cmp.types.lsp')
128.182  000.063  000.063: require('cmp.types.vim')
128.186  000.414  000.130: require('cmp.types')
128.268  000.079  000.079: require('cmp.utils.cache')
128.274  000.594  000.101: require('cmp.context')
128.606  000.110  000.110: require('cmp.config.mapping')
128.816  000.099  000.099: require('cmp.config.compare')
128.821  000.209  000.110: require('cmp.config.default')
128.852  000.446  000.127: require('cmp.config')
129.065  000.084  000.084: require('cmp.matcher')
129.077  000.221  000.137: require('cmp.entry')
129.089  000.812  000.145: require('cmp.source')
129.271  000.081  000.081: require('cmp.utils.event')
129.472  000.104  000.104: require('cmp.utils.window')
129.478  000.203  000.099: require('cmp.view.docs_view')
129.700  000.094  000.094: require('cmp.utils.autocmd')
129.717  000.236  000.141: require('cmp.view.custom_entries_view')
129.830  000.110  000.110: require('cmp.view.wildmenu_entries_view')
129.926  000.093  000.093: require('cmp.view.native_entries_view')
130.018  000.088  000.088: require('cmp.view.ghost_text_view')
130.036  000.944  000.133: require('cmp.view')
130.305  004.656  000.502: require('cmp.core')
130.678  000.090  000.090: require('cmp.config.sources')
130.758  000.073  000.073: require('cmp.config.window')
130.868  005.855  001.035: require('cmp')
132.322  000.100  000.100: require('luasnip.session')
132.664  000.328  000.328: require('luasnip.util.util')
132.750  000.081  000.081: require('luasnip.util.types')
133.291  000.461  000.461: require('luasnip.util.ext_opts')
133.313  000.560  000.099: require('luasnip.nodes.util')
133.429  000.111  000.111: require('luasnip.util.events')
133.454  001.371  000.190: require('luasnip.nodes.node')
133.708  000.099  000.099: require('luasnip.util.extend_decorator')
133.743  000.285  000.186: require('luasnip.nodes.insertNode')
133.905  000.159  000.159: require('luasnip.nodes.textNode')
134.011  000.100  000.100: require('luasnip.util.mark')
135.125  000.997  000.997: require('luasnip.util._builtin_vars')
135.348  001.333  000.335: require('luasnip.util.environ')
135.544  000.190  000.190: require('luasnip.util.pattern_tokenizer')
135.646  000.096  000.096: require('luasnip.util.dict')
135.762  000.112  000.112: require('luasnip.session.snippet_collection')
135.909  004.384  000.738: require('luasnip.nodes.snippet')
136.152  000.081  000.081: require('luasnip.loaders._caches')
136.323  000.166  000.166: require('luasnip.util.path')
136.386  000.467  000.221: require('luasnip.loaders')
136.718  000.291  000.291: require('luasnip.nodes.functionNode')
136.892  000.166  000.166: require('luasnip.nodes.choiceNode')
137.036  000.139  000.139: require('luasnip.nodes.dynamicNode')
137.188  000.149  000.149: require('luasnip.nodes.restoreNode')
